source_path_internal,source_sha256,vetted_source_path_internal,vetted_source_sha256,release_path,release_sha256,language,scientific_role,inclusion_status,reason
<PROJECT_ROOT>/000 GEE Data/1 MOD13C1 kNDVI 16-day （已下载）/01_FULL_MOD13C1_kNDVI_supportQA_g050_global_2001_2024_v07.txt,92a35847d7dd38c8c81e7edfd93b9914b26415a1ac3293c7000d88a9d3ba9da4,<PROJECT_ROOT>/000 GEE Data/1 MOD13C1 kNDVI 16-day （已下载）/01_FULL_MOD13C1_kNDVI_supportQA_g050_global_2001_2024_v07.txt,92a35847d7dd38c8c81e7edfd93b9914b26415a1ac3293c7000d88a9d3ba9da4,code/01_acquisition/Data01_MOD13C1_kNDVI_export_definition.js,92a35847d7dd38c8c81e7edfd93b9914b26415a1ac3293c7000d88a9d3ba9da4,js,MOD13C1 kNDVI/support acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/2 RA5-Land monthly climate （已下载）/02A_FULL_ERA5Land_coreClimate_g050_global_2001_2024_v03.txt,0bf4e05103243f9d3c22f3f9f9c82b5e66f972a65f35de0f0d5aa2104ff384b6,<PROJECT_ROOT>/000 GEE Data/2 RA5-Land monthly climate （已下载）/02A_FULL_ERA5Land_coreClimate_g050_global_2001_2024_v03.txt,0bf4e05103243f9d3c22f3f9f9c82b5e66f972a65f35de0f0d5aa2104ff384b6,code/01_acquisition/Data02_ERA5Land_monthly_export_definition.js,0bf4e05103243f9d3c22f3f9f9c82b5e66f972a65f35de0f0d5aa2104ff384b6,js,ERA5-Land monthly temperature/precipitation acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/3 MOD44B forest cover & tree cover （已下载）/MOD44B_native1km_g010_GEE_scripts_2000_2025_v01/2001/03D_EXPORT_MOD44B_native1km_g010_2001_BATCH01of08_v01.txt,92b8a5fd3158c15d22f3869db249c57b0ebddf5367974b179e879484aadf37b3,<PROJECT_ROOT>/000 GEE Data/3 MOD44B forest cover & tree cover （已下载）/MOD44B_native1km_g010_GEE_scripts_2000_2025_v01/2001/03D_EXPORT_MOD44B_native1km_g010_2001_BATCH01of08_v01.txt,92b8a5fd3158c15d22f3869db249c57b0ebddf5367974b179e879484aadf37b3,code/01_acquisition/Data03_MOD44B_representative_batch_export.js,92b8a5fd3158c15d22f3869db249c57b0ebddf5367974b179e879484aadf37b3,js,Representative parameterized MOD44B export batch definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/4 MODIS MCD12C1 land cover & ecosystem type （已下载）/04C_EXPORT_MCD12C1_IGBP_g005_global_2001_2024_v01.txt,4f49f8d2250bfc01873e02457ddc9e8e14b585f9c391b4c4330c2285e168b583,<PROJECT_ROOT>/000 GEE Data/4 MODIS MCD12C1 land cover & ecosystem type （已下载）/04C_EXPORT_MCD12C1_IGBP_g005_global_2001_2024_v01.txt,4f49f8d2250bfc01873e02457ddc9e8e14b585f9c391b4c4330c2285e168b583,code/01_acquisition/Data04_MCD12C1_IGBP_export_definition.js,4f49f8d2250bfc01873e02457ddc9e8e14b585f9c391b4c4330c2285e168b583,js,MCD12C1 categorical land-cover acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/00_data_acquisition/SC057_06B_EXPORT_MCD64A1_burned_area_g005_2001_land57_v05.js,d5a5a3ed1760b6aedc27a6815cf23cb5a51dd3da016adb3aed08734770ea1d89,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/00_data_acquisition/SC057_06B_EXPORT_MCD64A1_burned_area_g005_2001_land57_v05.js,d5a5a3ed1760b6aedc27a6815cf23cb5a51dd3da016adb3aed08734770ea1d89,code/01_acquisition/Data06_MCD64A1_burned_area_export.js,d5a5a3ed1760b6aedc27a6815cf23cb5a51dd3da016adb3aed08734770ea1d89,js,MCD64A1 burned-area acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/00_data_acquisition/SC058_07C_EXPORT_MOD17A3HGF_GPP_NPP_g005_GLOBAL_2001_2024_ALL_YEARS_v04.js,e1ddedd4346fa0eaa14e52a5779d5037627654b35845793d2be0ef505dd043e0,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/00_data_acquisition/SC058_07C_EXPORT_MOD17A3HGF_GPP_NPP_g005_GLOBAL_2001_2024_ALL_YEARS_v04.js,e1ddedd4346fa0eaa14e52a5779d5037627654b35845793d2be0ef505dd043e0,code/01_acquisition/Data07_MOD17A3HGF_GPP_NPP_export.js,e1ddedd4346fa0eaa14e52a5779d5037627654b35845793d2be0ef505dd043e0,js,MOD17A3HGF annual productivity acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/00_data_acquisition/SC059_09B_EXPORT_TNC_HM_v3_g005_2000_2020_land57_v05.js,64075b2257562323e118e8c4590a2f9c7795b24c6a0b688fcfe3e93962f81cc3,<PROJECT_ROOT>/NEE_SUBMISSION_v15_READY_PACKAGE/05_OPEN_SCIENCE/RELEASE_CODE/code/00_data_acquisition/SC059_09B_EXPORT_TNC_HM_v3_g005_2000_2020_land57_v05.js,64075b2257562323e118e8c4590a2f9c7795b24c6a0b688fcfe3e93962f81cc3,code/01_acquisition/Data09_TNC_human_modification_export.js,64075b2257562323e118e8c4590a2f9c7795b24c6a0b688fcfe3e93962f81cc3,js,TNC human-modification acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/10 GEE气候区替代数据设计 (已下载)/10B_TEST_WorldClim_broad_climate_zones_g005_GLOBAL_v04.txt,e70ada366778aa6126940a4088f85a6b26cc6bc3a33a970a6ea59ad3225ba8f4,<PROJECT_ROOT>/000 GEE Data/10 GEE气候区替代数据设计 (已下载)/10B_TEST_WorldClim_broad_climate_zones_g005_GLOBAL_v04.txt,e70ada366778aa6126940a4088f85a6b26cc6bc3a33a970a6ea59ad3225ba8f4,code/01_acquisition/Data10_WorldClim_climate_zone_export.js,e70ada366778aa6126940a4088f85a6b26cc6bc3a33a970a6ea59ad3225ba8f4,js,WorldClim broad climate-zone acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/11 森林结构与生物量基线 (已下载)/11B_TEST_ForestStructure_CanopyHeight2005_BiomassCarbon2010_g005_GLOBAL_v02.txt,01b0c71d94151704d644d1f989c01721d5f520c9ba485cb2b8e7f0dd1bd7d667,<PROJECT_ROOT>/000 GEE Data/11 森林结构与生物量基线 (已下载)/11B_TEST_ForestStructure_CanopyHeight2005_BiomassCarbon2010_g005_GLOBAL_v02.txt,01b0c71d94151704d644d1f989c01721d5f520c9ba485cb2b8e7f0dd1bd7d667,code/01_acquisition/Data11_forest_structure_export.js,01b0c71d94151704d644d1f989c01721d5f520c9ba485cb2b8e7f0dd1bd7d667,js,Canopy-height and biomass acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
<PROJECT_ROOT>/000 GEE Data/12 全球土壤水力与土壤理化属性基线 （已下载）/00_GEE_script/12B_EXPORT_OpenLandMap_SoilBaseline_g005_land57_v02.txt,38d1fa4dc70d714a301ea5ead9f26ef1bc30f40059fb0b44062457857fcf01de,<PROJECT_ROOT>/000 GEE Data/12 全球土壤水力与土壤理化属性基线 （已下载）/00_GEE_script/12B_EXPORT_OpenLandMap_SoilBaseline_g005_land57_v02.txt,38d1fa4dc70d714a301ea5ead9f26ef1bc30f40059fb0b44062457857fcf01de,code/01_acquisition/Data12_OpenLandMap_soil_export.js,38d1fa4dc70d714a301ea5ead9f26ef1bc30f40059fb0b44062457857fcf01de,js,OpenLandMap soil-baseline acquisition definition,INCLUDED,Copied from the vetted frozen source; filename/category relocation only.
